日期,时间,分区,使用量,year,month,Time,Used,All,使用率
2023/4/10,14:00:15,SH1024/IRDC_A100_40G,0/8,2023,4,14,0,8,0
2023/4/10,14:00:15,SH1988/IRDC_V100_16G,0/48,2023,4,14,0,48,0
2023/4/10,18:00:21,ABUD/vi_irdc,96/256,2023,4,18,96,256,37.5
2023/4/10,18:00:21,SH40/IRDC_Share,8/280,2023,4,18,8,280,2.86
2023/4/10,18:00:21,SH40/IRDC_1080Ti,0/80,2023,4,18,0,80,0
2023/4/10,18:00:21,SH1024/IRDC_A100_40G,0/8,2023,4,18,0,8,0
2023/4/10,18:00:21,SH1988/IRDC_V100_16G,0/48,2023,4,18,0,48,0
2023/4/10,22:00:14,ABUD/vi_irdc,32/256,2023,4,22,32,256,12.5
2023/4/10,22:00:14,SH40/IRDC_Share,184/280,2023,4,22,184,280,65.71
2023/4/10,22:00:14,SH40/IRDC_1080Ti,0/80,2023,4,22,0,80,0
2023/4/10,22:00:14,SH1024/IRDC_A100_40G,8月8日,2023,4,22,8,8,100
2023/4/10,22:00:14,SH1988/IRDC_V100_16G,0/48,2023,4,22,0,48,0
